date,state,fips,cases,deaths
2020-05-28,Colorado,08,25116,1422
2020-05-29,Colorado,08,25602,1437
2020-05-30,Colorado,08,26084,1443
2020-05-31,Colorado,08,26364,1445
2020-06-01,Colorado,08,26563,1458
2020-06-02,Colorado,08,26774,1474
2020-06-03,Colorado,08,27046,1494
2020-06-04,Colorado,08,27346,1512
2020-06-05,Colorado,08,27601,1524
2020-06-06,Colorado,08,27834,1527
2020-06-07,Colorado,08,27987,1527
2020-06-08,Colorado,08,28169,1543
2020-06-09,Colorado,08,28333,1553
2020-06-10,Colorado,08,28484,1573
2020-06-11,Colorado,08,28632,1583
2020-06-12,Colorado,08,28807,1595
2020-06-13,Colorado,08,29002,1598
2020-06-14,Colorado,08,29115,1599
2020-06-15,Colorado,08,29284,1605
2020-06-16,Colorado,08,29427,1617
2020-06-17,Colorado,08,29658,1631
2020-06-18,Colorado,08,29886,1638
2020-06-19,Colorado,08,30172,1643
2020-06-20,Colorado,08,30334,1647
2020-06-21,Colorado,08,30524,1647
2020-06-22,Colorado,08,30689,1651
2020-06-23,Colorado,08,30877,1665
2020-06-24,Colorado,08,31139,1667
2020-06-25,Colorado,08,31463,1669
2020-06-26,Colorado,08,31780,1673
2020-06-27,Colorado,08,32006,1674
2020-06-28,Colorado,08,32290,1676
2020-06-29,Colorado,08,32495,1682
2020-06-30,Colorado,08,32698,1690
2020-07-01,Colorado,08,33012,1697
2020-07-02,Colorado,08,33335,1701
2020-07-03,Colorado,08,33607,1701
2020-07-04,Colorado,08,33900,1703
2020-07-05,Colorado,08,34100,1703
2020-07-06,Colorado,08,34316,1704
2020-07-07,Colorado,08,34717,1709
2020-07-08,Colorado,08,35185,1707
2020-07-09,Colorado,08,35604,1707
2020-07-10,Colorado,08,36210,1724
2020-07-11,Colorado,08,36633,1725
2020-07-12,Colorado,08,36933,1726
2020-07-13,Colorado,08,37303,1728
2020-07-14,Colorado,08,37761,1739
2020-07-15,Colorado,08,38240,1745
2020-07-16,Colorado,08,38817,1746
2020-07-17,Colorado,08,39409,1753
2020-07-18,Colorado,08,39811,1753
2020-07-19,Colorado,08,40182,1753
2020-07-20,Colorado,08,40649,1759
2020-07-21,Colorado,08,41152,1764
2020-07-22,Colorado,08,41747,1772
2020-07-23,Colorado,08,42409,1788
2020-07-24,Colorado,08,43098,1791
2020-07-25,Colorado,08,43847,1795
2020-07-26,Colorado,08,44364,1795
2020-07-27,Colorado,08,44723,1800
2020-07-28,Colorado,08,45420,1809
2020-07-29,Colorado,08,45885,1826
2020-07-30,Colorado,08,46338,1826
2020-07-31,Colorado,08,46948,1841
2020-08-01,Colorado,08,47357,1846
2020-08-02,Colorado,08,47799,1846
2020-08-03,Colorado,08,48119,1849
2020-08-04,Colorado,08,48492,1855
2020-08-05,Colorado,08,49143,1857
2020-08-06,Colorado,08,49633,1857
2020-08-07,Colorado,08,50081,1862
2020-08-08,Colorado,08,50491,1862
2020-08-09,Colorado,08,50799,1863
2020-08-10,Colorado,08,51104,1868
2020-08-11,Colorado,08,51487,1878
2020-08-12,Colorado,08,51847,1881
2020-08-13,Colorado,08,52242,1886
2020-08-14,Colorado,08,52587,1892
2020-08-15,Colorado,08,52868,1897
2020-08-16,Colorado,08,53188,1897
2020-08-17,Colorado,08,53391,1903
2020-08-18,Colorado,08,53674,1906
2020-08-19,Colorado,08,53943,1906
2020-08-20,Colorado,08,54285,1909
2020-08-21,Colorado,08,54658,1915
2020-08-22,Colorado,08,54939,1923
2020-08-23,Colorado,08,55441,1925
2020-08-24,Colorado,08,55700,1926
2020-08-25,Colorado,08,56176,1932
2020-08-26,Colorado,08,56346,1933
2020-08-27,Colorado,08,56706,1937
2020-08-28,Colorado,08,57158,1945
2020-08-29,Colorado,08,57326,1946
2020-08-30,Colorado,08,57515,1945
2020-08-31,Colorado,08,57797,1952
2020-09-01,Colorado,08,58118,1953
2020-09-02,Colorado,08,58392,1960
2020-09-03,Colorado,08,58680,1963
2020-09-04,Colorado,08,59021,1973
2020-09-05,Colorado,08,59362,1978
2020-09-06,Colorado,08,59626,1980
2020-09-07,Colorado,08,59823,1980
2020-09-08,Colorado,08,60003,1980
2020-09-09,Colorado,08,60291,1984
2020-09-10,Colorado,08,60576,1988
2020-09-11,Colorado,08,60881,1991
2020-09-12,Colorado,08,61311,1994
2020-09-13,Colorado,08,61641,1994
2020-09-14,Colorado,08,62032,2000
2020-09-15,Colorado,08,62575,2006
2020-09-16,Colorado,08,63068,2010
2020-09-17,Colorado,08,63613,2016
2020-09-18,Colorado,08,64277,2020
2020-09-19,Colorado,08,64694,2022
2020-09-20,Colorado,08,65248,2023
2020-09-21,Colorado,08,65936,2031
2020-09-22,Colorado,08,66552,2034
2020-09-23,Colorado,08,67186,2038
2020-09-24,Colorado,08,67745,2042
2020-09-25,Colorado,08,68506,2045
2020-09-26,Colorado,08,68973,2047
2020-09-27,Colorado,08,69472,2048
2020-09-28,Colorado,08,69967,2052
2020-09-29,Colorado,08,70458,2058
2020-09-30,Colorado,08,71090,2061
2020-10-01,Colorado,08,71723,2064
2020-10-02,Colorado,08,72454,2069
2020-10-03,Colorado,08,72929,2071
2020-10-04,Colorado,08,73389,2077
2020-10-05,Colorado,08,74029,2085
2020-10-06,Colorado,08,74535,2094
2020-10-07,Colorado,08,75410,2097
2020-10-08,Colorado,08,76186,2107
2020-10-09,Colorado,08,77068,2115
2020-10-10,Colorado,08,78047,2121
2020-10-11,Colorado,08,78752,2134
2020-10-12,Colorado,08,79499,2144
2020-10-13,Colorado,08,80414,2181
2020-10-14,Colorado,08,81205,2186
2020-10-15,Colorado,08,82443,2187
2020-10-16,Colorado,08,83712,2196
2020-10-17,Colorado,08,84804,2199
2020-10-18,Colorado,08,85803,2199
2020-10-19,Colorado,08,86727,2207
2020-10-20,Colorado,08,87966,2212
2020-10-21,Colorado,08,89245,2220
2020-10-22,Colorado,08,90639,2224
2020-10-23,Colorado,08,92067,2233
2020-10-24,Colorado,08,93989,2241
2020-10-25,Colorado,08,95742,2244
2020-10-26,Colorado,08,97686,2255
2020-10-27,Colorado,08,99111,2265
2020-10-28,Colorado,08,100614,2277
2020-10-29,Colorado,08,102665,2295
2020-10-30,Colorado,08,104927,2302
2020-10-31,Colorado,08,107844,2309
2020-11-01,Colorado,08,110640,2312
2020-11-02,Colorado,08,112821,2320
2020-11-03,Colorado,08,115364,2337
2020-11-04,Colorado,08,118356,2366
2020-11-05,Colorado,08,122170,2383
2020-11-06,Colorado,08,125397,2404
2020-11-07,Colorado,08,128611,2417
2020-11-08,Colorado,08,131870,2421
2020-11-09,Colorado,08,135747,2438
2020-11-10,Colorado,08,139246,2469
2020-11-11,Colorado,08,143553,2481
2020-11-12,Colorado,08,149262,2512
2020-11-13,Colorado,08,155761,2541
2020-11-14,Colorado,08,160459,2554
2020-11-15,Colorado,08,164408,2574
2020-11-16,Colorado,08,168890,2605
2020-11-17,Colorado,08,173220,2626
2020-11-18,Colorado,08,178224,2669
2020-11-19,Colorado,08,184260,2734
2020-11-20,Colorado,08,190100,2752
2020-11-21,Colorado,08,195220,2791
2020-11-22,Colorado,08,199296,2811
2020-11-23,Colorado,08,203578,2821
2020-11-24,Colorado,08,207882,2868
2020-11-25,Colorado,08,212416,2930
2020-11-26,Colorado,08,217655,2977
2020-11-27,Colorado,08,222544,2998
2020-11-28,Colorado,08,226567,3012
