date,state,fips,cases,deaths
2020-11-21,Massachusetts,25,204155,10488
2020-11-22,Massachusetts,25,206850,10512
2020-11-23,Massachusetts,25,208623,10531
2020-11-24,Massachusetts,25,211199,10551
2020-11-25,Massachusetts,25,214594,10604
2020-11-26,Massachusetts,25,214594,10604
2020-11-27,Massachusetts,25,219252,10635
2020-11-28,Massachusetts,25,222469,10676
2020-02-01,Massachusetts,25,1,0
2020-02-02,Massachusetts,25,1,0
2020-02-03,Massachusetts,25,1,0
2020-02-04,Massachusetts,25,1,0
2020-02-05,Massachusetts,25,1,0
2020-02-06,Massachusetts,25,1,0
2020-02-07,Massachusetts,25,1,0
2020-02-08,Massachusetts,25,1,0
2020-02-09,Massachusetts,25,1,0
2020-02-10,Massachusetts,25,1,0
2020-02-11,Massachusetts,25,1,0
2020-02-12,Massachusetts,25,1,0
2020-02-13,Massachusetts,25,1,0
2020-02-14,Massachusetts,25,1,0
2020-02-15,Massachusetts,25,1,0
2020-02-16,Massachusetts,25,1,0
2020-02-17,Massachusetts,25,1,0
2020-02-18,Massachusetts,25,1,0
2020-02-19,Massachusetts,25,1,0
2020-02-20,Massachusetts,25,1,0
2020-02-21,Massachusetts,25,1,0
2020-02-22,Massachusetts,25,1,0
2020-02-23,Massachusetts,25,1,0
2020-02-24,Massachusetts,25,1,0
2020-02-25,Massachusetts,25,1,0
2020-02-26,Massachusetts,25,1,0
2020-02-27,Massachusetts,25,1,0
2020-02-28,Massachusetts,25,1,0
2020-02-29,Massachusetts,25,1,0
2020-03-01,Massachusetts,25,1,0
2020-03-02,Massachusetts,25,2,0
2020-03-03,Massachusetts,25,2,0
2020-03-04,Massachusetts,25,2,0
2020-03-05,Massachusetts,25,3,0
2020-03-06,Massachusetts,25,8,0
2020-03-07,Massachusetts,25,13,0
2020-03-08,Massachusetts,25,28,0
2020-03-09,Massachusetts,25,41,0
2020-03-10,Massachusetts,25,92,0
2020-03-11,Massachusetts,25,95,0
2020-03-12,Massachusetts,25,108,0
2020-03-13,Massachusetts,25,123,0
2020-03-14,Massachusetts,25,138,0
2020-03-15,Massachusetts,25,164,0
2020-03-16,Massachusetts,25,197,0
2020-03-17,Massachusetts,25,218,0
2020-03-18,Massachusetts,25,256,0
2020-03-19,Massachusetts,25,328,0
2020-03-20,Massachusetts,25,413,1
2020-03-21,Massachusetts,25,525,2
2020-03-22,Massachusetts,25,646,5
2020-03-23,Massachusetts,25,777,9
2020-03-24,Massachusetts,25,1159,11
2020-03-25,Massachusetts,25,1838,15
2020-03-26,Massachusetts,25,2417,25
2020-03-27,Massachusetts,25,3240,35
2020-03-28,Massachusetts,25,4257,44
2020-03-29,Massachusetts,25,4955,48
2020-03-30,Massachusetts,25,5752,56
2020-03-31,Massachusetts,25,6620,89
2020-04-01,Massachusetts,25,7738,122
2020-04-02,Massachusetts,25,8966,154
2020-04-03,Massachusetts,25,10402,192
2020-04-04,Massachusetts,25,11736,216
2020-04-05,Massachusetts,25,12500,231
2020-04-06,Massachusetts,25,13837,260
2020-04-07,Massachusetts,25,15202,356
2020-04-08,Massachusetts,25,16790,433
2020-04-09,Massachusetts,25,18941,503
2020-04-10,Massachusetts,25,20974,599
2020-04-11,Massachusetts,25,22860,686
2020-04-12,Massachusetts,25,25475,756
2020-04-13,Massachusetts,25,26867,844
2020-04-14,Massachusetts,25,28163,957
2020-04-15,Massachusetts,25,29918,1108
2020-04-16,Massachusetts,25,32181,1245
2020-04-17,Massachusetts,25,34402,1404
2020-04-18,Massachusetts,25,36372,1560
2020-04-19,Massachusetts,25,38077,1706
2020-04-20,Massachusetts,25,39643,1809
2020-04-21,Massachusetts,25,41199,1961
2020-04-22,Massachusetts,25,42944,2182
2020-04-23,Massachusetts,25,46023,2360
2020-04-24,Massachusetts,25,50969,2556
2020-04-25,Massachusetts,25,53348,2730
2020-04-26,Massachusetts,25,54938,2899
2020-04-27,Massachusetts,25,56462,3003
2020-04-28,Massachusetts,25,58302,3153
2020-04-29,Massachusetts,25,60265,3405
2020-04-30,Massachusetts,25,62205,3562
2020-05-01,Massachusetts,25,64311,3716
2020-05-02,Massachusetts,25,66263,3846
2020-05-03,Massachusetts,25,68087,4004
2020-05-04,Massachusetts,25,69087,4090
2020-05-05,Massachusetts,25,70271,4212
2020-05-06,Massachusetts,25,72025,4420
2020-05-07,Massachusetts,25,73721,4552
2020-05-08,Massachusetts,25,75333,4702
2020-05-09,Massachusetts,25,76743,4840
2020-05-10,Massachusetts,25,77793,4979
2020-05-11,Massachusetts,25,78462,5108
2020-05-12,Massachusetts,25,79332,5141
2020-05-13,Massachusetts,25,80497,5315
2020-05-14,Massachusetts,25,82182,5482
2020-05-15,Massachusetts,25,83421,5592
2020-05-16,Massachusetts,25,84933,5705
2020-05-17,Massachusetts,25,86010,5797
2020-05-18,Massachusetts,25,87052,5862
2020-05-19,Massachusetts,25,87925,5938
2020-05-20,Massachusetts,25,88970,6066
2020-05-21,Massachusetts,25,90084,6148
2020-05-22,Massachusetts,25,90889,6228
2020-05-23,Massachusetts,25,91662,6304
2020-05-24,Massachusetts,25,92675,6372
2020-05-25,Massachusetts,25,93271,6416
2020-05-26,Massachusetts,25,93693,6473
2020-05-27,Massachusetts,25,94220,6547
2020-05-28,Massachusetts,25,94895,6640
2020-05-29,Massachusetts,25,95512,6718
2020-05-30,Massachusetts,25,96301,6768
2020-05-31,Massachusetts,25,96965,6846
2020-06-01,Massachusetts,25,100805,7035
2020-06-02,Massachusetts,25,101163,7085
2020-06-03,Massachusetts,25,101592,7152
2020-06-04,Massachusetts,25,102063,7201
2020-06-05,Massachusetts,25,102557,7235
2020-06-06,Massachusetts,25,103132,7289
2020-06-07,Massachusetts,25,103436,7316
2020-06-08,Massachusetts,25,103626,7353
2020-06-09,Massachusetts,25,103889,7408
2020-06-10,Massachusetts,25,104156,7454
2020-06-11,Massachusetts,25,104667,7492
2020-06-12,Massachusetts,25,105059,7538
2020-06-13,Massachusetts,25,105395,7576
2020-06-14,Massachusetts,25,105603,7624
2020-06-15,Massachusetts,25,105690,7646
2020-06-16,Massachusetts,25,105885,7664
2020-06-17,Massachusetts,25,106151,7733
2020-06-18,Massachusetts,25,106422,7769
2020-06-19,Massachusetts,25,106650,7799
2020-06-20,Massachusetts,25,106936,7827
2020-06-21,Massachusetts,25,107061,7857
2020-06-22,Massachusetts,25,107210,7873
2020-06-23,Massachusetts,25,107439,7889
2020-06-24,Massachusetts,25,107611,7937
2020-06-25,Massachusetts,25,107837,7962
2020-06-26,Massachusetts,25,108070,8012
2020-06-27,Massachusetts,25,108443,8040
2020-06-28,Massachusetts,25,108667,8060
2020-06-29,Massachusetts,25,108768,8095
2020-06-30,Massachusetts,25,108882,8054
2020-07-01,Massachusetts,25,109143,8081
2020-07-02,Massachusetts,25,109338,8132
2020-07-03,Massachusetts,25,109628,8149
2020-07-04,Massachusetts,25,109838,8172
2020-07-05,Massachusetts,25,109974,8183
2020-07-06,Massachusetts,25,110137,8198
2020-07-07,Massachusetts,25,110338,8213
2020-07-08,Massachusetts,25,110602,8243
2020-07-09,Massachusetts,25,110897,8268
2020-07-10,Massachusetts,25,111110,8296
2020-07-11,Massachusetts,25,111398,8310
2020-07-12,Massachusetts,25,111597,8325
2020-07-13,Massachusetts,25,111827,8330
2020-07-14,Massachusetts,25,112130,8340
2020-07-15,Massachusetts,25,112347,8368
2020-07-16,Massachusetts,25,112581,8380
2020-07-17,Massachusetts,25,112879,8402
2020-07-18,Massachusetts,25,113238,8419
2020-07-19,Massachusetts,25,113534,8431
2020-07-20,Massachusetts,25,113789,8433
2020-07-21,Massachusetts,25,114033,8450
2020-07-22,Massachusetts,25,114320,8468
2020-07-23,Massachusetts,25,114647,8484
2020-07-24,Massachusetts,25,114985,8498
2020-07-25,Massachusetts,25,115268,8510
2020-07-26,Massachusetts,25,115637,8529
2020-07-27,Massachusetts,25,115926,8536
2020-07-28,Massachusetts,25,116182,8551
2020-07-29,Massachusetts,25,116684,8580
2020-07-30,Massachusetts,25,117098,8595
2020-07-31,Massachusetts,25,117612,8609
2020-08-01,Massachusetts,25,118040,8626
2020-08-02,Massachusetts,25,118458,8638
2020-08-03,Massachusetts,25,118657,8648
2020-08-04,Massachusetts,25,119203,8657
2020-08-05,Massachusetts,25,119643,8659
2020-08-06,Massachusetts,25,119874,8691
2020-08-07,Massachusetts,25,120291,8709
2020-08-08,Massachusetts,25,120711,8721
2020-08-09,Massachusetts,25,121040,8735
2020-08-10,Massachusetts,25,121315,8741
2020-08-11,Massachusetts,25,121707,8751
2020-08-12,Massachusetts,25,122000,8769
2020-08-13,Massachusetts,25,122423,8790
2020-08-14,Massachusetts,25,122728,8810
2020-08-15,Massachusetts,25,123199,8826
2020-08-16,Massachusetts,25,123593,8838
2020-08-17,Massachusetts,25,123841,8842
2020-08-18,Massachusetts,25,124063,8848
2020-08-19,Massachusetts,25,124415,8876
2020-08-20,Massachusetts,25,124728,8888
2020-08-21,Massachusetts,25,125216,8901
2020-08-22,Massachusetts,25,125360,8921
2020-08-23,Massachusetts,25,125360,8921
2020-08-24,Massachusetts,25,126022,8949
2020-08-25,Massachusetts,25,126420,8961
2020-08-26,Massachusetts,25,126756,8987
2020-08-27,Massachusetts,25,127124,9008
2020-08-28,Massachusetts,25,127584,9024
2020-08-29,Massachusetts,25,128030,9036
2020-08-30,Massachusetts,25,128229,9049
2020-08-31,Massachusetts,25,128533,9060
2020-09-01,Massachusetts,25,128888,9064
2020-09-02,Massachusetts,25,121131,9060
2020-09-03,Massachusetts,25,121546,9077
2020-09-04,Massachusetts,25,121758,9100
2020-09-05,Massachusetts,25,122196,9116
2020-09-06,Massachusetts,25,122562,9125
2020-09-07,Massachusetts,25,122791,9133
2020-09-08,Massachusetts,25,122962,9141
2020-09-09,Massachusetts,25,123143,9146
2020-09-10,Massachusetts,25,123546,9166
2020-09-11,Massachusetts,25,123986,9180
2020-09-12,Massachusetts,25,124540,9196
2020-09-13,Massachusetts,25,124826,9210
2020-09-14,Massachusetts,25,125080,9219
2020-09-15,Massachusetts,25,125393,9225
2020-09-16,Massachusetts,25,125699,9245
2020-09-17,Massachusetts,25,126128,9260
2020-09-18,Massachusetts,25,126582,9269
2020-09-19,Massachusetts,25,127181,9295
2020-09-20,Massachusetts,25,127540,9310
2020-09-21,Massachusetts,25,127796,9317
2020-09-22,Massachusetts,25,127969,9328
2020-09-23,Massachusetts,25,128512,9347
2020-09-24,Massachusetts,25,128993,9362
2020-09-25,Massachusetts,25,129481,9373
2020-09-26,Massachusetts,25,130050,9391
2020-09-27,Massachusetts,25,130642,9404
2020-09-28,Massachusetts,25,131072,9415
2020-09-29,Massachusetts,25,131584,9423
2020-09-30,Massachusetts,25,132116,9456
2020-10-01,Massachusetts,25,132870,9480
2020-10-02,Massachusetts,25,133631,9490
2020-10-03,Massachusetts,25,134303,9507
2020-10-04,Massachusetts,25,134947,9510
2020-10-05,Massachusetts,25,135462,9530
2020-10-06,Massachusetts,25,135957,9538
2020-10-07,Massachusetts,25,136492,9557
2020-10-08,Massachusetts,25,136936,9565
2020-10-09,Massachusetts,25,137701,9577
2020-10-10,Massachusetts,25,138340,9587
2020-10-11,Massachusetts,25,138903,9604
2020-10-12,Massachusetts,25,139663,9617
2020-10-13,Massachusetts,25,140412,9630
2020-10-14,Massachusetts,25,140992,9647
2020-10-15,Massachusetts,25,141579,9672
2020-10-16,Massachusetts,25,142346,9702
2020-10-17,Massachusetts,25,142930,9723
2020-10-18,Massachusetts,25,143660,9737
2020-10-19,Massachusetts,25,144488,9753
2020-10-20,Massachusetts,25,145464,9758
2020-10-21,Massachusetts,25,146166,9780
2020-10-22,Massachusetts,25,147215,9810
2020-10-23,Massachusetts,25,148285,9830
2020-10-24,Massachusetts,25,149488,9839
2020-10-25,Massachusetts,25,150565,9864
2020-10-26,Massachusetts,25,151777,9881
2020-10-27,Massachusetts,25,153037,9888
2020-10-28,Massachusetts,25,154218,9924
2020-10-29,Massachusetts,25,155564,9951
2020-10-30,Massachusetts,25,157146,9975
2020-10-31,Massachusetts,25,158576,9991
2020-11-01,Massachusetts,25,159707,10013
2020-11-02,Massachusetts,25,160549,10023
2020-11-03,Massachusetts,25,161585,10035
2020-11-04,Massachusetts,25,163299,10062
2020-11-05,Massachusetts,25,165161,10085
2020-11-06,Massachusetts,25,167274,10123
2020-11-07,Massachusetts,25,169576,10146
2020-11-08,Massachusetts,25,171399,10166
2020-11-09,Massachusetts,25,172727,10180
2020-11-10,Massachusetts,25,174881,10201
2020-11-11,Massachusetts,25,177541,10222
2020-11-12,Massachusetts,25,180189,10242
2020-11-13,Massachusetts,25,183095,10265
2020-11-14,Massachusetts,25,186142,10293
2020-11-15,Massachusetts,25,188275,10329
2020-11-16,Massachusetts,25,190439,10340
2020-11-17,Massachusetts,25,192964,10360
2020-11-18,Massachusetts,25,195868,10407
2020-11-19,Massachusetts,25,198550,10435
2020-11-20,Massachusetts,25,200949,10469
2020-11-21,Massachusetts,25,204155,10488
2020-11-22,Massachusetts,25,206850,10512
2020-11-23,Massachusetts,25,208623,10531
2020-11-24,Massachusetts,25,211199,10551
2020-11-25,Massachusetts,25,214594,10604
2020-11-26,Massachusetts,25,214594,10604
2020-11-27,Massachusetts,25,219252,10635
2020-11-28,Massachusetts,25,222469,10676
